pair_id,name_a,name_b,label,pair_type,cluster_a,cluster_b
p0001,LVMH Moët Hennessy Louis Vuitton,Moet Hennessy Louis Vuitton,1,positive,lvmh,lvmh
p0002,"NIKE, Inc.",NKE,1,positive,nike,nike
p0003,Bank of America Corporation,Bank of America,1,positive,bofa,bofa
p0004,ASML Holding,"Netflix, Inc.",0,easy_negative,asml,netflix
p0005,AT&T Inc.,A T & T,1,positive,att,att
p0006,Delta Air Lines,"Delta Electronics, Inc.",0,hard_negative,delta_air,delta_elec
p0007,Credit Suisse,"First Solar, Inc.",0,easy_negative,creditsuisse,firstsolar
p0008,American International Group,AIG,1,positive,aig,aig
p0009,ExxonMobil,Exxon,1,positive,exxon,exxon
p0010,General Electric Company,Lincoln Electric,0,hard_negative,ge,lincoln_elec
p0011,United Airlines,UAL,1,positive,united_air,united_air
p0012,American Express Company,American Electric Power,0,hard_negative,amex,aep
p0013,A.P. Moller-Maersk A/S,AP Moller Maersk,1,positive,maersk,maersk
p0014,Deutsche Bank AG,Deutsche Telekom,0,hard_negative,deutschebank,deutschetelekom
p0015,General Motors,General Electric Company,0,hard_negative,gm,ge
p0016,HSBC Holdings plc,Hongkong and Shanghai Banking Corporation,1,positive,hsbc,hsbc
p0017,American Airlines,AAL,1,positive,amer_air,amer_air
p0018,"Advanced Micro Devices, Inc.",AMD,1,positive,amd,amd
p0019,"Cisco Systems, Inc.",Cisco Systems,1,positive,cisco,cisco
p0020,"Merck & Co., Inc.",Merck Sharp & Dohme,1,positive,merck_us,merck_us
p0021,Bank of Montreal,Royal Bank,0,hard_negative,bankofmontreal,rbc
p0022,3M Company,I.B.M.,0,easy_negative,mmm,ibm
p0023,Johnson and Johnson,Johnson Controls,0,hard_negative,jnj,johnson_controls
p0024,Bank of China Limited,中国银行,1,positive,bankofchina,bankofchina
p0025,Hewlett Packard,Tata Consultancy Services Limited,0,easy_negative,hp,tcs
p0026,"Amazon.com, Inc.",AMZN,1,positive,amazon,amazon
p0027,Amazon.com,Citigroup,0,easy_negative,amazon,citi
p0028,Merck Group,First Solar,0,easy_negative,merck_de,firstsolar
p0029,Chevron,Deutsche Telekom AG,0,easy_negative,chevron,deutschetelekom
p0030,JPMorgan Chase,Cisco Systems,0,easy_negative,jpmorgan,cisco
p0031,General Motors Company,"Tesla Motors, Inc.",0,hard_negative,gm,tesla
p0032,Citi,C,1,positive,citi,citi
p0033,Stellantis N.V.,Fiat Chrysler Automobiles,1,positive,stellantis,stellantis
p0034,Royal Bank of Scotland Group,RBS,1,positive,rbs,rbs
p0035,"Netflix, Inc.",NFLX,1,positive,netflix,netflix
p0036,"United Airlines Holdings, Inc.",American Airlines,0,hard_negative,united_air,amer_air
p0037,Intel Corporation,Intel Corp,1,positive,intel,intel
p0038,Genral Electric,Lincoln Electric,0,hard_negative,ge,lincoln_elec
p0039,Daimler AG,Mercedes-Benz,1,positive,mercedes,mercedes
p0040,Royal Bank,First Republic Bank,0,hard_negative,rbc,firstrepublic
p0041,"Samsung Electronics Co., Ltd.","Delta Electronics, Inc.",0,hard_negative,samsung,delta_elec
p0042,Saudi Aramco,Aramco,1,positive,aramco,aramco
p0043,General Motors Company,General Dynamics,0,hard_negative,gm,gendynamics
p0044,Deutsche Bank AG,Bank of China,0,hard_negative,deutschebank,bankofchina
p0045,Ford Motor Co.,Ford,1,positive,ford,ford
p0046,Pfizer,Deutsche Telekom AG,0,easy_negative,pfizer,deutschetelekom
p0047,"Meta Platforms, Inc.",META,1,positive,meta,meta
p0048,Alibaba Group Holding Limited,BABA,1,positive,alibaba,alibaba
p0049,Alibaba Group,BABA,1,positive,alibaba,alibaba
p0050,"The Home Depot, Inc.",The Home Depot,1,positive,homedepot,homedepot
p0051,"American Electric Power Company, Inc.",American Electric Power,1,positive,aep,aep
p0052,"Merck & Co., Inc.",Merck KGaA,0,hard_negative,merck_us,merck_de
p0053,General Dynamics,First Solar,0,easy_negative,gendynamics,firstsolar
p0054,General Electric Co.,GE,1,positive,ge,ge
p0055,BofA,BAC,1,positive,bofa,bofa
p0056,Mastercard Incorporated,General Motors,0,easy_negative,mastercard,gm
p0057,General Motors Company,General Motors,1,positive,gm,gm
p0058,AstraZeneca PLC,AstraZeneca,1,positive,astrazeneca,astrazeneca
p0059,Bank of America,Royal Bank of Canada,0,hard_negative,bofa,rbc
p0060,AAPL,Aple Inc,1,positive,apple,apple
p0061,Merck and Co,E. Merck,0,hard_negative,merck_us,merck_de
p0062,Johnson & Johnson,J&J,1,positive,jnj,jnj
p0063,Morgan Stanley & Co.,MS,1,positive,morganstanley,morganstanley
p0064,ASML Holding N.V.,ASML Holding,1,positive,asml,asml
p0065,IBM Corp.,Internationl Business Machines,1,positive,ibm,ibm
p0066,Saudi Arabian Oil Company,Merck and Co,0,easy_negative,aramco,merck_us
p0067,MS,A.P. Møller – Mærsk,0,easy_negative,morganstanley,maersk
p0068,First Solar,FSLR,1,positive,firstsolar,firstsolar
p0069,American Express,American International Group,0,hard_negative,amex,aig
p0070,International Business Machines Corporation,IBM,1,positive,ibm,ibm
p0071,Unilever PLC,Unilever,1,positive,unilever,unilever
p0072,British Petroleum,BP,1,positive,bp,bp
p0073,Hitachi,日立製作所,1,positive,hitachi,hitachi
p0074,Bayerische Motoren Werke AG,BMW,1,positive,bmw,bmw
p0075,Deutsche Post DHL Group,DHL Group,1,positive,deutschepost,deutschepost
p0076,"General Mills, Inc.",GIS,1,positive,genmills,genmills
p0077,Sony Corporation,Sony,1,positive,sony,sony
p0078,AstraZeneca PLC,Astra Zeneca,1,positive,astrazeneca,astrazeneca
p0079,PJSC Gazprom,Gazprom,1,positive,gazprom,gazprom
p0080,AP Moller Maersk,Maersk,1,positive,maersk,maersk
p0081,United Airlines,United Parcel Service,0,hard_negative,united_air,ups
p0082,Delta Air Lines,Delta Electronics,0,hard_negative,delta_air,delta_elec
p0083,Tata Consultancy Services,TCS,1,positive,tcs,tcs
p0084,HP Inc.,Hewlett Packard,1,positive,hp,hp
p0085,Siemens,General Dynamics Corporation,0,easy_negative,siemens,gendynamics
p0086,HSBC Holdings plc,Société des Produits Nestlé,0,easy_negative,hsbc,nestle
p0087,Airbus Group,Airbus,1,positive,airbus,airbus
p0088,TotalEnergies,Total,1,positive,total,total
p0089,IBM,IBM Corp.,1,positive,ibm,ibm
p0090,Novartis International AG,Johnson Controls International plc,0,hard_negative,novartis,johnson_controls
p0091,International Business Machines Corporation,IBM Corp.,1,positive,ibm,ibm
p0092,American Express Company,American Telephone & Telegraph,0,hard_negative,amex,att
p0093,"United Airlines Holdings, Inc.",United Airlines,1,positive,united_air,united_air
p0094,"Honda Motor Co., Ltd.",Honda,1,positive,honda,honda
p0095,Oracle Corporation,Oracle,1,positive,oracle,oracle
p0096,Tata Consultancy Services,CVX,0,easy_negative,tcs,chevron
p0097,Exxon Mobil Corporation,Exxon,1,positive,exxon,exxon
p0098,TotalEnergies SE,TotalEnergies,1,positive,total,total
p0099,CVX,Saudi Aramco,0,easy_negative,chevron,aramco
p0100,AstraZeneca PLC,AZN,1,positive,astrazeneca,astrazeneca
p0101,The Coca-Cola Company,Santander,0,easy_negative,cocacola,santander
p0102,Nestlé S.A.,Nestle SA,1,positive,nestle,nestle
p0103,Bank of America,Bank of Montreal,0,hard_negative,bofa,bankofmontreal
p0104,Nike Inc,NKE,1,positive,nike,nike
p0105,"American Electric Power Company, Inc.",Lincoln Electric,0,hard_negative,aep,lincoln_elec
p0106,Astra Zeneca,AZN,1,positive,astrazeneca,astrazeneca
p0107,Deutsche Bank AG,Royal Bank,0,hard_negative,deutschebank,rbc
p0108,Daimler AG,MS,0,easy_negative,mercedes,morganstanley
p0109,American Electric Power,"Lincoln Electric Holdings, Inc.",0,hard_negative,aep,lincoln_elec
p0110,Ford Motor Company,"Honda Motor Co., Ltd.",0,hard_negative,ford,honda
p0111,GM,Genral Motors,1,positive,gm,gm
p0112,American Airlines Group Inc.,"American Electric Power Company, Inc.",0,hard_negative,amer_air,aep
p0113,UnitedHealth Group,Anheuser Busch InBev,0,easy_negative,unitedhealth,abinbev
p0114,Deutsche Bank AG,Royal Bank of Canada,0,hard_negative,deutschebank,rbc
p0115,Volkswagen AG,Standard Chartered PLC,0,easy_negative,vw,stanchart
p0116,TSM,A.P. Møller – Mærsk,0,easy_negative,tsmc,maersk
p0117,Sony Group Corporation,ソニー,1,positive,sony,sony
p0118,"United Parcel Service, Inc.",UPS,1,positive,ups,ups
p0119,Novartis International AG,"American International Group, Inc.",0,hard_negative,novartis,aig
p0120,SAP SE,SAP AG,1,positive,sap,sap
p0121,Moet Hennessy Louis Vuitton,LVMH,1,positive,lvmh,lvmh
p0122,CRM,General Electric Company,0,easy_negative,salesforce,ge
p0123,Bank of Montreal,Royal Bank of Canada,0,hard_negative,bankofmontreal,rbc
p0124,Visa Inc.,Visa,1,positive,visa,visa
p0125,American Express Company,American International Group,0,hard_negative,amex,aig
p0126,"Banco Santander, S.A.",Banco Santander,1,positive,santander,santander
p0127,Royal Dutch Shell,Royal Bank of Canada,0,hard_negative,shell,rbc
p0128,GSK plc,GSK,1,positive,gsk,gsk
p0129,United Airlines,BofA,0,easy_negative,united_air,bofa
p0130,Bank of America Corporation,Deutsche Bank,0,hard_negative,bofa,deutschebank
p0131,Merck KGaA,Merck Group,1,positive,merck_de,merck_de
p0132,American Electric Power,"American International Group, Inc.",0,hard_negative,aep,aig
p0133,General Electric Co.,American Electric Power,0,hard_negative,ge,aep
p0134,Johnson Controls International plc,Johnson Controls,1,positive,johnson_controls,johnson_controls
p0135,Bank of America,Union Bank of Switzerland,0,hard_negative,bofa,ubs
p0136,Citigroup Inc.,Citigroup,1,positive,citi,citi
p0137,Pepsi,Crédit Agricole S.A.,0,easy_negative,pepsico,creditagricole
p0138,"PepsiCo, Inc.",PepsiCo,1,positive,pepsico,pepsico
p0139,Apple Inc.,"Samsung Electronics Co., Ltd.",0,easy_negative,apple,samsung
p0140,Credit Agricole,Sony Corporation,0,easy_negative,creditagricole,sony
p0141,GE,American Express Company,0,easy_negative,ge,amex
p0142,Johnson and Johnson,Johnson Controls International plc,0,hard_negative,jnj,johnson_controls
p0143,Genral Electric,American Electric Power,0,hard_negative,ge,aep
p0144,Bank of America,Bank of China Limited,0,hard_negative,bofa,bankofchina
p0145,Union Bank of Switzerland,Bank of Montreal,0,hard_negative,ubs,bankofmontreal
p0146,General Mills,VZ,0,easy_negative,genmills,verizon
p0147,The Procter & Gamble Company,Procter and Gamble,1,positive,pg,pg
p0148,"Tesla Motors, Inc.",Tata Motors,0,hard_negative,tesla,tatamotors
p0149,RTX Corporation,Raytheon,1,positive,rtx,rtx
p0150,The Boeing Company,AAPL,0,easy_negative,boeing,apple
p0151,PJSC Gazprom,OAO Gazprom,1,positive,gazprom,gazprom
p0152,Procter and Gamble,Maersk,0,easy_negative,pg,maersk
p0153,Royal Bank of Canada,Royal Bank,1,positive,rbc,rbc
p0154,"Delta Air Lines, Inc.",Astra Zeneca,0,easy_negative,delta_air,astrazeneca
p0155,Bank of China Limited,Bank of Montreal,0,hard_negative,bankofchina,bankofmontreal
p0156,MCD,UBS Group AG,0,easy_negative,mcdonalds,ubs
p0157,GlaxoSmithKline,GSK,1,positive,gsk,gsk
p0158,Bank of America,Verizon Communications Inc.,0,easy_negative,bofa,verizon
p0159,Deutsche Bank,Bank of Montreal,0,hard_negative,deutschebank,bankofmontreal
p0160,Deutsche Bank AG,Deutsche Post AG,0,hard_negative,deutschebank,deutschepost
p0161,General Electric Co.,HSBC,0,easy_negative,ge,hsbc
p0162,AP Moller Maersk,INTC,0,easy_negative,maersk,intel
p0163,Deutsche Telekom,Deutsche Post DHL Group,0,hard_negative,deutschetelekom,deutschepost
p0164,Mercedes Benz,Mercedes-Benz,1,positive,mercedes,mercedes
p0165,Tata Consultancy Services,Tata Motors,0,hard_negative,tcs,tatamotors
p0166,Fiat Chrysler Automobiles,Airbus Group,0,easy_negative,stellantis,airbus
p0167,"Netflix, Inc.",Netflix,1,positive,netflix,netflix
