pair_id,name_a,name_b,label,pair_type,route,baseline_score,llm_same,llm_confidence,final_pred,source
p0001,LVMH Moët Hennessy Louis Vuitton,Moet Hennessy Louis Vuitton,1,positive,llm,0.9351,1,,1,reused
p0002,"NIKE, Inc.",NKE,1,positive,llm,0.8500,1,,1,reused
p0003,Bank of America Corporation,Bank of America,1,positive,auto_accept,0.9919,,,1,
p0004,ASML Holding,"Netflix, Inc.",0,easy_negative,auto_reject,0.0000,,,0,
p0005,AT&T Inc.,A T & T,1,positive,llm,0.6958,1,,1,reused
p0006,Delta Air Lines,"Delta Electronics, Inc.",0,hard_negative,llm,0.7276,0,,0,reused
p0007,Credit Suisse,"First Solar, Inc.",0,easy_negative,auto_reject,0.0000,,,0,
p0008,American International Group,AIG,1,positive,llm,0.9270,1,1.0,1,new
p0009,ExxonMobil,Exxon,1,positive,auto_accept,0.9678,,,1,
p0010,General Electric Company,Lincoln Electric,0,hard_negative,llm,0.4502,0,,0,reused
p0011,United Airlines,UAL,1,positive,llm,0.6236,1,0.99,1,new
p0012,American Express Company,American Electric Power,0,hard_negative,llm,0.2896,0,,0,reused
p0013,A.P. Moller-Maersk A/S,AP Moller Maersk,1,positive,llm,0.8639,1,,1,reused
p0014,Deutsche Bank AG,Deutsche Telekom,0,hard_negative,llm,0.4804,0,,0,reused
p0015,General Motors,General Electric Company,0,hard_negative,llm,0.3867,0,,0,reused
p0016,HSBC Holdings plc,Hongkong and Shanghai Banking Corporation,1,positive,llm,0.8473,0,0.85,0,new
p0017,American Airlines,AAL,1,positive,llm,0.4485,1,0.99,1,new
p0018,"Advanced Micro Devices, Inc.",AMD,1,positive,llm,0.9200,1,,1,reused
p0019,"Cisco Systems, Inc.",Cisco Systems,1,positive,auto_accept,0.9957,,,1,
p0020,"Merck & Co., Inc.",Merck Sharp & Dohme,1,positive,llm,0.7799,1,,1,reused
p0021,Bank of Montreal,Royal Bank,0,hard_negative,llm,0.3739,0,,0,reused
p0022,3M Company,I.B.M.,0,easy_negative,auto_reject,0.0707,,,0,
p0023,Johnson and Johnson,Johnson Controls,0,hard_negative,llm,0.6493,0,,0,reused
p0024,Bank of China Limited,中国银行,1,positive,llm,0.4631,1,0.99,1,new
p0025,Hewlett Packard,Tata Consultancy Services Limited,0,easy_negative,auto_reject,0.0073,,,0,
p0026,"Amazon.com, Inc.",AMZN,1,positive,llm,0.8500,1,,1,reused
p0027,Amazon.com,Citigroup,0,easy_negative,auto_reject,0.0000,,,0,
p0028,Merck Group,First Solar,0,easy_negative,auto_reject,0.0000,,,0,
p0029,Chevron,Deutsche Telekom AG,0,easy_negative,auto_reject,0.0832,,,0,
p0030,JPMorgan Chase,Cisco Systems,0,easy_negative,auto_reject,0.0871,,,0,
p0031,General Motors Company,"Tesla Motors, Inc.",0,hard_negative,llm,0.4858,0,,0,reused
p0032,Citi,C,1,positive,auto_reject,0.0184,,,0,
p0033,Stellantis N.V.,Fiat Chrysler Automobiles,1,positive,llm,0.8557,0,0.85,0,new
p0034,Royal Bank of Scotland Group,RBS,1,positive,llm,0.9200,1,,1,reused
p0035,"Netflix, Inc.",NFLX,1,positive,llm,0.8500,1,,1,reused
p0036,"United Airlines Holdings, Inc.",American Airlines,0,hard_negative,llm,0.3940,0,,0,reused
p0037,Intel Corporation,Intel Corp,1,positive,auto_accept,0.9969,,,1,
p0038,Genral Electric,Lincoln Electric,0,hard_negative,llm,0.2658,0,,0,reused
p0039,Daimler AG,Mercedes-Benz,1,positive,llm,0.7240,1,0.97,1,new
p0040,Royal Bank,First Republic Bank,0,hard_negative,llm,0.3762,0,,0,reused
p0041,"Samsung Electronics Co., Ltd.","Delta Electronics, Inc.",0,hard_negative,llm,0.1776,0,,0,reused
p0042,Saudi Aramco,Aramco,1,positive,llm,0.8910,1,,1,reused
p0043,General Motors Company,General Dynamics,0,hard_negative,llm,0.5190,0,,0,reused
p0044,Deutsche Bank AG,Bank of China,0,hard_negative,auto_reject,0.0796,,,0,
p0045,Ford Motor Co.,Ford,1,positive,auto_accept,0.9648,,,1,
p0046,Pfizer,Deutsche Telekom AG,0,easy_negative,auto_reject,0.0000,,,0,
p0047,"Meta Platforms, Inc.",META,1,positive,llm,0.6833,1,,1,reused
p0048,Alibaba Group Holding Limited,BABA,1,positive,llm,0.2528,1,,1,reused
p0049,Alibaba Group,BABA,1,positive,llm,0.2778,1,,1,reused
p0050,"The Home Depot, Inc.",The Home Depot,1,positive,auto_accept,0.9950,,,1,
p0051,"American Electric Power Company, Inc.",American Electric Power,1,positive,llm,0.9430,1,1.0,1,new
p0052,"Merck & Co., Inc.",Merck KGaA,0,hard_negative,llm,0.9411,0,1.0,0,new
p0053,General Dynamics,First Solar,0,easy_negative,auto_reject,0.0000,,,0,
p0054,General Electric Co.,GE,1,positive,llm,0.9264,1,,1,reused
p0055,BofA,BAC,1,positive,llm,0.5363,1,0.95,1,new
p0056,Mastercard Incorporated,General Motors,0,easy_negative,llm,0.1901,0,1.0,0,new
p0057,General Motors Company,General Motors,1,positive,auto_accept,0.9976,,,1,
p0058,AstraZeneca PLC,AstraZeneca,1,positive,auto_accept,0.9943,,,1,
p0059,Bank of America,Royal Bank of Canada,0,hard_negative,llm,0.2094,0,,0,reused
p0060,AAPL,Aple Inc,1,positive,llm,0.4626,1,,1,reused
p0061,Merck and Co,E. Merck,0,hard_negative,llm,0.9003,0,,0,reused
p0062,Johnson & Johnson,J&J,1,positive,llm,0.8971,1,1.0,1,new
p0063,Morgan Stanley & Co.,MS,1,positive,llm,0.9200,1,,1,reused
p0064,ASML Holding N.V.,ASML Holding,1,positive,auto_accept,0.9903,,,1,
p0065,IBM Corp.,Internationl Business Machines,1,positive,llm,0.9200,1,,1,reused
p0066,Saudi Arabian Oil Company,Merck and Co,0,easy_negative,auto_reject,0.0000,,,0,
p0067,MS,A.P. Møller – Mærsk,0,easy_negative,auto_reject,0.0260,,,0,
p0068,First Solar,FSLR,1,positive,llm,0.8501,1,0.99,1,new
p0069,American Express,American International Group,0,hard_negative,llm,0.2943,0,,0,reused
p0070,International Business Machines Corporation,IBM,1,positive,llm,0.9200,1,,1,reused
p0071,Unilever PLC,Unilever,1,positive,auto_accept,0.9932,,,1,
p0072,British Petroleum,BP,1,positive,llm,0.9200,1,,1,reused
p0073,Hitachi,日立製作所,1,positive,auto_reject,0.0000,,,0,
p0074,Bayerische Motoren Werke AG,BMW,1,positive,llm,0.9200,1,,1,reused
p0075,Deutsche Post DHL Group,DHL Group,1,positive,llm,0.7040,1,,1,reused
p0076,"General Mills, Inc.",GIS,1,positive,llm,0.1342,1,0.97,1,new
p0077,Sony Corporation,Sony,1,positive,auto_accept,0.9848,,,1,
p0078,AstraZeneca PLC,Astra Zeneca,1,positive,llm,0.7256,1,,1,reused
p0079,PJSC Gazprom,Gazprom,1,positive,auto_accept,0.9711,,,1,
p0080,AP Moller Maersk,Maersk,1,positive,llm,0.6978,1,,1,reused
p0081,United Airlines,United Parcel Service,0,hard_negative,llm,0.6142,0,,0,reused
p0082,Delta Air Lines,Delta Electronics,0,hard_negative,llm,0.7365,0,,0,reused
p0083,Tata Consultancy Services,TCS,1,positive,llm,0.9200,1,,1,reused
p0084,HP Inc.,Hewlett Packard,1,positive,llm,0.9200,1,,1,reused
p0085,Siemens,General Dynamics Corporation,0,easy_negative,llm,0.1755,0,1.0,0,new
p0086,HSBC Holdings plc,Société des Produits Nestlé,0,easy_negative,auto_reject,0.0000,,,0,
p0087,Airbus Group,Airbus,1,positive,auto_accept,0.9507,,,1,
p0088,TotalEnergies,Total,1,positive,llm,0.8500,1,,1,reused
p0089,IBM,IBM Corp.,1,positive,auto_accept,0.9832,,,1,
p0090,Novartis International AG,Johnson Controls International plc,0,hard_negative,llm,0.1010,0,,0,reused
p0091,International Business Machines Corporation,IBM Corp.,1,positive,llm,0.9200,1,,1,reused
p0092,American Express Company,American Telephone & Telegraph,0,hard_negative,llm,0.1539,0,,0,reused
p0093,"United Airlines Holdings, Inc.",United Airlines,1,positive,auto_accept,0.9538,,,1,
p0094,"Honda Motor Co., Ltd.",Honda,1,positive,llm,0.8973,1,,1,reused
p0095,Oracle Corporation,Oracle,1,positive,auto_accept,0.9751,,,1,
p0096,Tata Consultancy Services,CVX,0,easy_negative,auto_reject,0.0609,,,0,
p0097,Exxon Mobil Corporation,Exxon,1,positive,auto_accept,0.9762,,,1,
p0098,TotalEnergies SE,TotalEnergies,1,positive,auto_accept,0.9722,,,1,
p0099,CVX,Saudi Aramco,0,easy_negative,auto_reject,0.0697,,,0,
p0100,AstraZeneca PLC,AZN,1,positive,llm,0.8500,1,,1,reused
p0101,The Coca-Cola Company,Santander,0,easy_negative,auto_reject,0.0000,,,0,
p0102,Nestlé S.A.,Nestle SA,1,positive,auto_accept,0.9943,,,1,
p0103,Bank of America,Bank of Montreal,0,hard_negative,llm,0.1899,0,,0,reused
p0104,Nike Inc,NKE,1,positive,llm,0.8500,1,,1,reused
p0105,"American Electric Power Company, Inc.",Lincoln Electric,0,hard_negative,llm,0.2760,0,,0,reused
p0106,Astra Zeneca,AZN,1,positive,llm,0.5412,1,0.99,1,new
p0107,Deutsche Bank AG,Royal Bank,0,hard_negative,llm,0.2465,0,,0,reused
p0108,Daimler AG,MS,0,easy_negative,auto_reject,0.0000,,,0,
p0109,American Electric Power,"Lincoln Electric Holdings, Inc.",0,hard_negative,llm,0.2044,0,,0,reused
p0110,Ford Motor Company,"Honda Motor Co., Ltd.",0,hard_negative,llm,0.1623,0,,0,reused
p0111,GM,Genral Motors,1,positive,llm,0.9200,1,,1,reused
p0112,American Airlines Group Inc.,"American Electric Power Company, Inc.",0,hard_negative,llm,0.2951,0,,0,reused
p0113,UnitedHealth Group,Anheuser Busch InBev,0,easy_negative,auto_reject,0.0000,,,0,
p0114,Deutsche Bank AG,Royal Bank of Canada,0,hard_negative,llm,0.1942,0,,0,reused
p0115,Volkswagen AG,Standard Chartered PLC,0,easy_negative,auto_reject,0.0000,,,0,
p0116,TSM,A.P. Møller – Mærsk,0,easy_negative,llm,0.2040,0,0.99,0,new
p0117,Sony Group Corporation,ソニー,1,positive,llm,0.1073,1,0.99,1,new
p0118,"United Parcel Service, Inc.",UPS,1,positive,llm,0.9200,1,,1,reused
p0119,Novartis International AG,"American International Group, Inc.",0,hard_negative,auto_reject,0.0000,,,0,
p0120,SAP SE,SAP AG,1,positive,auto_accept,0.9864,,,1,
p0121,Moet Hennessy Louis Vuitton,LVMH,1,positive,llm,0.3282,1,1.0,1,new
p0122,CRM,General Electric Company,0,easy_negative,auto_reject,0.0000,,,0,
p0123,Bank of Montreal,Royal Bank of Canada,0,hard_negative,llm,0.4540,0,,0,reused
p0124,Visa Inc.,Visa,1,positive,auto_accept,0.9742,,,1,
p0125,American Express Company,American International Group,0,hard_negative,llm,0.2317,0,,0,reused
p0126,"Banco Santander, S.A.",Banco Santander,1,positive,auto_accept,0.9903,,,1,
p0127,Royal Dutch Shell,Royal Bank of Canada,0,hard_negative,llm,0.1950,0,,0,reused
p0128,GSK plc,GSK,1,positive,auto_accept,0.9631,,,1,
p0129,United Airlines,BofA,0,easy_negative,auto_reject,0.0014,,,0,
p0130,Bank of America Corporation,Deutsche Bank,0,hard_negative,llm,0.3059,0,,0,reused
p0131,Merck KGaA,Merck Group,1,positive,auto_accept,0.9623,,,1,
p0132,American Electric Power,"American International Group, Inc.",0,hard_negative,llm,0.1475,0,,0,reused
p0133,General Electric Co.,American Electric Power,0,hard_negative,llm,0.2673,0,,0,reused
