pair_id,name_a,name_b,label,pair_type,route,baseline_score,llm_same,llm_confidence,final_pred,source
os000001,isim taj mahal limited,ISIM TAJ MAHAL LIMITED,1,os_positive,auto_accept,1.0000,,,1,
os000002,Company,Company,0,os_negative,auto_accept,1.0000,,,1,
os000003,"Публічне акціонерне товариство ""Об’єднана авіабудівельна корпорація""",OBEDINENNAYA DVIGATELESTROITELNAYA KORPORATSIYA OAO,0,os_negative,auto_reject,0.0000,,,0,
os000004,Al-Haramain (Bangladesh branch),Al-Haramain: Ethiopia Branch,0,os_negative,llm,0.5129,0,,0,reused
os000005,LAW ENFORCEMENT FORCES OF THE ISLAMIC REPUBLIC OF IRAN COOPERATIVE FOUNDATION,بنياد تعاون سياه ياسداران انقلاب اسلا مى,0,os_negative,auto_reject,0.0000,,,0,
os000006,Rivne Elevator Joint Stock Company,"LADOZHSKI ELEVATOR, OAO",0,os_negative,llm,0.3336,0,,0,reused
os000007,"Товариство з обмеженою відповідальністю ""Глассен-Айті""","Общество с ограниченной ответственностью ""Глассен-Айти""",1,os_positive,llm,0.4376,1,,1,reused
os000008,Харакат-уль-Муджахедин,Harakat Ul-Mujahidin/HUM,1,os_positive,auto_reject,0.0000,,,0,
os000009,Акціонерне товариство «КрасАвіа»,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРАСАВИА""",1,os_positive,llm,0.5107,1,,1,reused
os000010,Scientific Research Institute NII Submikron,State Scientific Research Institute of Organic Chemistry and Technology,0,os_negative,llm,0.5036,0,,0,reused
os000011,"CHINA SPACESAT CO., LTD.","China Spacesat Co., Ltd.",1,os_positive,auto_accept,1.0000,,,1,
os000012,Joint Stock Company Vyatka Machine-Building Enterprise Avitek,Joint Stock Company Vyatskoye Mashinostroitelnoye Predpriyatiye Avitek,1,os_positive,llm,0.3728,1,,1,reused
os000013,Linburg Industries LTD.,Industries aéronautiques Qods,0,os_negative,llm,0.3267,0,,0,reused
os000014,コリア・プガン・トレーディング・コーポレーション,Korea Ryongwang Trading Corporation,0,os_negative,auto_reject,0.0000,,,0,
os000015,RABITA TRUST,Rabita Trust,1,os_positive,auto_accept,1.0000,,,1,
os000016,"American National Bank of Dekalb County, The","American National Bank of Dekalb County, The",1,os_positive,auto_accept,1.0000,,,1,
os000017,"Закрытое акционерное общество ""Первый контейнерный терминал""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕРВЫЙ КОНТЕЙНЕРНЫЙ ТЕРМИНАЛ""",1,os_positive,llm,0.9350,1,,1,reused
os000018,Fondation Al-Haramain (Union des Comores),AL-HARAMAIN FOUNDATION (UNION OF THE COMOROS),0,os_negative,llm,0.7532,1,,1,reused
os000019,Мегафон ПАО,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕГАФОН""",1,os_positive,llm,0.5768,1,,1,reused
os000020,"AVIC JONHON OPTRONIC TECHNOLOGY CO., LTD.","AVIC Jonhon Optronic Technology Co., Ltd.",1,os_positive,auto_accept,1.0000,,,1,
os000021,VOLGA-DNEPR LOGISTICS B.V.,VOLGA-DNEPR LOGISTICS B.V.,1,os_positive,auto_accept,1.0000,,,1,
os000022,"Открытое акционерное общество ""Лакокраска""","ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛАКОКРАСКА""",1,os_positive,auto_accept,1.0000,,,1,
os000023,NEFAZ PUBLICLY TRADED COMPANY,Nefaz Publicly Traded Company,1,os_positive,auto_accept,1.0000,,,1,
os000024,"Товариство з обмеженою відповідальністю ""Газпром Телеком""","Gazprom Svyaz, OOO",1,os_positive,auto_reject,0.0000,,,0,
os000025,Closed Joint Stock Company Absolutbank,Absolutbank,0,os_negative,llm,0.7281,1,,1,reused
os000026,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НПО ЭЛЕКТРОННЫЕ СИСТЕМЫ""",JSC NPO High Precision Systems,0,os_negative,auto_reject,0.0000,,,0,
os000027,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОДК-КУЗНЕЦОВ""",Public Joint-Stock Company ODK-Kuznetsov,1,os_positive,auto_reject,0.0000,,,0,
os000028,"Акціонерне товариство ""Державна транспортна лізингова компанія""",državna prevozna lizinška družba,1,os_positive,auto_reject,0.0000,,,0,
os000029,United Instrument Manufacturing Corporation,United Shipbuilding Corporation,0,os_negative,llm,0.2785,0,,0,reused
os000030,Iran Air,Iran Air,1,os_positive,auto_accept,1.0000,,,1,
os000031,LEDRA NOMINEES LIMITED,IONICS NOMINEES LIMITED,0,os_negative,llm,0.5649,0,,0,reused
os000032,KOREAN TANGUN TRADING CORPORATION,Korean Tangun Trading Corporation,1,os_positive,auto_accept,1.0000,,,1,
os000033,アル・ハラマイン：バングラディシュ・ブランチ,AL-HARAMAIN: ETHIOPIA BRANCH,0,os_negative,auto_reject,0.0000,,,0,
os000034,وزارة الدفاع السورية,Syrian Ministry of Defence,0,os_negative,auto_reject,0.0000,,,0,
os000035,TOYO SHINYO JITSUGYO K.K.,JSC NNK (Novaia naftavaia kampania),0,os_negative,auto_reject,0.0141,,,0,
os000036,Rzhanov Institute of Semiconductor Physics Siberian Branch of Russian Academy of Sciences,"Rzhanov Institute of Semiconductor Physics, Siberian Branch of Russian Academy of Sciences (IPP SB RAS)",0,os_negative,llm,0.9330,1,,1,reused
os000037,KOREA DAESONG GENERAL TRADING CORPORATION,Korea Taesong Trading Company,0,os_negative,llm,0.7056,1,,1,reused
os000038,"Myanmar Imperial Jade (Gems & Jewellery) Co., Ltd.",Burma Ruby Enterprise,0,os_negative,auto_reject,0.0215,,,0,
os000039,NPF VTB PENSION FUND JOINT STOCK COMPANY,VTB PENSION ADMINISTRATOR LIMITED,0,os_negative,llm,0.4650,0,,0,reused
os000040,RAMKY ENVIRO ENGINEERS MIDDLE EAST FZ-LLC,Ramky Enviro Engineers Middle East FZ-LLC,1,os_positive,auto_accept,1.0000,,,1,
os000041,"Акціонерне товариство ""Консіст-оператор зв'язку""","АО ""КОНСИСТ- ОС""",1,os_positive,llm,0.1610,1,,1,reused
os000042,"Батальйон ""Оплот""","Батальйон ""Зоря""",0,os_negative,llm,0.6018,0,,0,reused
os000043,"Товариство з обмеженою відповідальністю ""Газпром Добича Ямбург""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ДОБЫЧА КРАСНОДАР""",0,os_negative,llm,0.2544,0,,0,reused
os000044,"ТОВ ""ПАРУС-ДНІПРО""","ТОВ ""КОМПАНІЯ ""САНЛАЙН""",0,os_negative,llm,0.1256,0,,0,reused
os000045,ФЕДЕРАЛЬНАЯ СЛУЖБА ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ,Фонд национального благосостояния РФ,0,os_negative,llm,0.2327,0,,0,reused
os000046,SHAHID SHUSTARI INDUSTRIES,Shahid Karrazi Industries,0,os_negative,llm,0.5593,0,,0,reused
os000047,GUSTAVO CAVAZOS,GUSTAVO CAVAZOS,1,os_positive,auto_accept,1.0000,,,1,
os000048,KOREA KUMRYONG TRADING CORPORATION,KOREA DAESONG GENERAL TRADING CORPORATION,0,os_negative,llm,0.4633,0,,0,reused
os000049,PCA XIANG GANG LIMITED,HUAXIN SHIPPING HONGKONG LTD,0,os_negative,llm,0.1018,0,,0,reused
os000050,Mahan Air,YANGON AIRWAYS COMPANY LIMITED,0,os_negative,llm,0.1242,0,,0,reused
os000051,الفرع 216,SYRIAN MILITARY INTELLIGENCE BRANCH 215 - RAIDS,0,os_negative,auto_reject,0.0784,,,0,
os000052,"Міжрегіональна громадська організація ""Спілка добровольців Донбасу""",地域間社会組織ドンバス義勇兵連合,1,os_positive,auto_reject,0.0000,,,0,
os000053,RT - Russia Today Germany,"АВТОНОМНА НЕКОМЕРЦІЙНА ОРГАНІЗАЦІЯ ""ТВ-НОВИНИ"" (Росія сьогодні UK)",0,os_negative,auto_reject,0.0000,,,0,
os000054,Rostec (Russian Technologies State Corporation),State Corporation Rostec,1,os_positive,llm,0.6483,1,,1,reused
os000055,Батальйон «Восток»,Brigade Vostok,1,os_positive,auto_reject,0.0000,,,0,
os000056,AL-HARAMAIN : Ethiopia Branch,Al-Haramain (branche Albanie),0,os_negative,llm,0.4882,0,,0,reused
os000057,TIZ PARS,Tiz Pars,1,os_positive,auto_accept,1.0000,,,1,
os000058,"Myanmar Imperial Jade (Gems & Jewellery) Co., Ltd.",Burma Imperial Jade Co. Ltd.,0,os_negative,llm,0.4679,1,,1,reused
os000059,KOREA HEUNGJIN TRADING COMPANY,Korea Heungjin Trading Company,1,os_positive,auto_accept,1.0000,,,1,
os000060,Чже Цзян Цзяйі Смол Коммодітіз Трейд Компані Лімітед,Company,1,os_positive,auto_reject,0.0000,,,0,
os000061,UNITED INSTRUMENT MANUFACTURING CORPORATION,United Shipbuilding Corporation,0,os_negative,llm,0.2785,0,,0,reused
os000062,Korea Kwangsong Trading Corporation,Korea Kumsan Trading Corporation,0,os_negative,llm,0.4597,0,,0,reused
