pair_id,name_a,name_b,label,pair_type,route,baseline_score,llm_same,llm_confidence,final_pred,source
os000001,isim taj mahal limited,ISIM TAJ MAHAL LIMITED,1,os_positive,llm,0.7277,1,1.0,1,new
os000002,Company,Company,0,os_negative,auto_accept,1.0000,,,1,
os000003,"Публічне акціонерне товариство ""Об’єднана авіабудівельна корпорація""",OBEDINENNAYA DVIGATELESTROITELNAYA KORPORATSIYA OAO,0,os_negative,llm,0.1316,0,,0,reused
os000004,Al-Haramain (Bangladesh branch),Al-Haramain: Ethiopia Branch,0,os_negative,llm,0.7588,0,,0,reused
os000005,LAW ENFORCEMENT FORCES OF THE ISLAMIC REPUBLIC OF IRAN COOPERATIVE FOUNDATION,بنياد تعاون سياه ياسداران انقلاب اسلا مى,0,os_negative,llm,0.3904,0,,0,reused
os000006,Rivne Elevator Joint Stock Company,"LADOZHSKI ELEVATOR, OAO",0,os_negative,llm,0.3128,0,,0,reused
os000007,"Товариство з обмеженою відповідальністю ""Глассен-Айті""","Общество с ограниченной ответственностью ""Глассен-Айти""",1,os_positive,llm,0.9038,1,,1,reused
os000008,Харакат-уль-Муджахедин,Harakat Ul-Mujahidin/HUM,1,os_positive,llm,0.7938,1,,1,reused
os000009,Акціонерне товариство «КрасАвіа»,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРАСАВИА""",1,os_positive,llm,0.7338,1,,1,reused
os000010,Scientific Research Institute NII Submikron,State Scientific Research Institute of Organic Chemistry and Technology,0,os_negative,llm,0.6405,0,,0,reused
os000011,"CHINA SPACESAT CO., LTD.","China Spacesat Co., Ltd.",1,os_positive,auto_accept,0.9691,,,1,
os000012,Joint Stock Company Vyatka Machine-Building Enterprise Avitek,Joint Stock Company Vyatskoye Mashinostroitelnoye Predpriyatiye Avitek,1,os_positive,llm,0.7516,1,,1,reused
os000013,Linburg Industries LTD.,Industries aéronautiques Qods,0,os_negative,auto_reject,0.0509,,,0,
os000014,コリア・プガン・トレーディング・コーポレーション,Korea Ryongwang Trading Corporation,0,os_negative,llm,0.4520,0,0.85,0,new
os000015,RABITA TRUST,Rabita Trust,1,os_positive,llm,0.6881,1,1.0,1,new
os000016,"American National Bank of Dekalb County, The","American National Bank of Dekalb County, The",1,os_positive,auto_accept,1.0000,,,1,
os000017,"Закрытое акционерное общество ""Первый контейнерный терминал""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕРВЫЙ КОНТЕЙНЕРНЫЙ ТЕРМИНАЛ""",1,os_positive,llm,0.6315,1,,1,reused
os000018,Fondation Al-Haramain (Union des Comores),AL-HARAMAIN FOUNDATION (UNION OF THE COMOROS),0,os_negative,llm,0.7992,1,,1,reused
os000019,Мегафон ПАО,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕГАФОН""",1,os_positive,llm,0.8042,1,,1,reused
